,sigma_Cl,sigma_H,sigma_N,sigma_O,epsilon_Cl,epsilon_H,epsilon_N,epsilon_O,temperature,a,b,c
12,3.509232298427968,0.9880272075893346,3.5463174714891053,3.546656995826673,0.6589482487440804,0.013010807728690519,0.19602617603318306,0.18076081922303086,298,9.733662040979508,6.446183960630797,7.967220198829158
13,3.509232298427968,0.9880272075893346,3.5463174714891053,3.546656995826673,0.6589482487440804,0.013010807728690519,0.19602617603318306,0.18076081922303086,78,9.339316559470264,6.594989538397468,7.8333155516527455
14,3.509232298427968,0.9880272075893346,3.5463174714891053,3.546656995826673,0.6589482487440804,0.013010807728690519,0.19602617603318306,0.18076081922303086,10,9.308785634932534,6.599426085679382,7.821472065038909
15,3.51075639061578,1.473277853685746,2.59706019877183,3.0094200472808526,0.523565287197248,0.007567511504331859,0.030896001952818282,0.047581877978031914,298,7.967124171830751,5.2379593541562555,6.627020848789891
16,3.51075639061578,1.473277853685746,2.59706019877183,3.0094200472808526,0.523565287197248,0.007567511504331859,0.030896001952818282,0.047581877978031914,78,7.888105819173746,5.101997009995002,6.545486296066253
17,3.51075639061578,1.473277853685746,2.59706019877183,3.0094200472808526,0.523565287197248,0.007567511504331859,0.030896001952818282,0.047581877978031914,10,7.885316703731467,5.0892055084124594,6.502007500892411
18,3.5135389400952697,0.875095438299224,3.3840978700416535,3.7781125456091575,0.31617815365936514,0.01767704101382688,0.1267601866494223,0.1139098219535837,298,9.744774275195734,6.498557599200399,7.979998404583423
19,3.5135389400952697,0.875095438299224,3.3840978700416535,3.7781125456091575,0.31617815365936514,0.01767704101382688,0.1267601866494223,0.1139098219535837,78,9.363654115109114,6.6363526352379365,7.838574196830156
20,3.5135389400952697,0.875095438299224,3.3840978700416535,3.7781125456091575,0.31617815365936514,0.01767704101382688,0.1267601866494223,0.1139098219535837,10,9.329650427036482,6.640418677661169,7.825502345113158
21,3.515682953607396,1.3431752774759183,3.760919311706899,3.227641690435538,0.666888843082802,0.00420003425137652,0.06628906485369444,0.1875123305557335,298,9.070363452940196,6.3446602887445165,7.621483247376312
22,3.515682953607396,1.3431752774759183,3.760919311706899,3.227641690435538,0.666888843082802,0.00420003425137652,0.06628906485369444,0.1875123305557335,78,8.742889490588038,6.437419679327003,7.513372648175912
23,3.515682953607396,1.3431752774759183,3.760919311706899,3.227641690435538,0.666888843082802,0.00420003425137652,0.06628906485369444,0.1875123305557335,10,8.701823434949192,6.441819211616414,7.498699982437352
