,sigma_Cl,sigma_H,sigma_N,sigma_O,epsilon_Cl,epsilon_H,epsilon_N,epsilon_O,ucmd_clf
484182,0.858198530467745,0.798010409610824,0.42743809290078,0.431213791837277,0.814092224652522,0.771030097166841,0.983327862703492,0.125738898643658,True
566484,0.753778902961848,0.686177910598206,0.116107933174818,0.729952056072472,0.106187736737026,0.540241577043802,0.578112882980954,0.784003493674712,True
426087,0.349950137327861,0.848287350833977,0.607621749652782,0.540240707300628,0.9061318573467,0.190495344443768,0.851643615172946,0.20498150340829,True
165048,0.825133211170374,0.892782278545792,0.57976076722092,0.361405972583595,0.409507056846937,0.207541231641035,0.0930444929652492,0.961077321417192,True
69492,0.879649879825656,0.683071984111195,0.202899967041463,0.654607688324315,0.180210874323817,0.280949495231295,0.937420249592369,0.407097755098044,True
598277,0.324302844425446,0.690049382702923,0.176965754454885,0.806945940855829,0.38274753493455,0.803595770183706,0.00784345571077338,0.476606726491524,True
16839,0.448177761014046,0.754696383589967,0.427471886289896,0.730808685756099,0.548067679638737,0.720597973747159,0.798528170794547,0.656584504487857,True
439460,0.795253311018748,0.672607243214527,0.526164786399143,0.535651290436993,0.0211988641907389,0.756057383452353,0.648486543838358,0.29105531179825,True
65969,0.341141734455797,0.674885478807113,0.704211275041906,0.592317472773295,0.789895532328602,0.699098652703421,0.207748098350505,0.220740587140588,True
894053,0.396649698247026,0.620852632257367,0.3662061734641,0.776131184219579,0.979118306191568,0.569834261298649,0.887079919975448,0.137024806937977,True
31428,0.0746912194915166,0.757341978328365,0.288588767641441,0.702661247997295,0.812574587625118,0.276984178630694,0.388489660916354,0.918080624899421,True
67367,0.233714640492982,0.928845414519298,0.607194031151578,0.404392488460061,0.298926795324405,0.183094386125376,0.355957341544404,0.819463682622518,True
469193,0.121100005755063,0.884436482835443,0.904574079891755,0.615942675483536,0.652754842527071,0.550568324944208,0.443371203209227,0.187616358408683,True
494456,0.836821538221709,0.841169951064586,0.204476750170999,0.569355672834431,0.1968473784487,0.437742385374998,0.985462930817403,0.953632211414411,True
736063,0.350314750372517,0.573621368213472,0.478112956724965,0.596410766384671,0.0484052462809714,0.565697264953134,0.696015092025688,0.67583225087152,True
783643,0.345865242532089,0.834289798784664,0.785089743818427,0.394690654963973,0.363961724956006,0.481478075490555,0.187981791044923,0.53981850423208,True
689224,0.270008392395915,0.76816089220386,0.340332087037545,0.874776158030123,0.552224051773854,0.449191716731851,0.599492348282426,0.108706393257446,True
64199,0.40486560080292,0.878117478166048,0.912587778038321,0.354058059689471,0.89273361415224,0.610762837606308,0.181939959505423,0.881412416669912,True
14194,0.639183875237623,0.731976639344558,0.161610737081635,0.743604731519144,0.465523923894167,0.358398415611984,0.314885548660881,0.596508224255962,True
913325,0.681509313718638,0.832173482668055,0.766144205414405,0.37088945590703,0.923619456107729,0.183026261870523,0.468448412224539,0.710187551572252,True
239394,0.849260149807319,0.844679779220747,0.402784308351077,0.512799767542126,0.769855397572499,0.453168836929485,0.779673639681821,0.725607951178491,True
780454,0.617482715353066,0.944341455834087,0.875598469814128,0.428753003589056,0.763041354862998,0.232154418048266,0.127655107536439,0.563754251322678,True
332296,0.8476891887817,0.642948179879345,0.7414331598388,0.346089122694841,0.68830868302341,0.920549931740691,0.239427336779231,0.748750770400806,True
479703,0.728200923526788,0.660559865081741,0.262052302378356,0.721745830339713,0.319330669751414,0.884306453138693,0.682674489607119,0.468014534741365,True
